Date,special_cause_reason
3/20/20,7 more more consenscutive points on one side of the average
3/21/20,7 more more consenscutive points on one side of the average
3/22/20,7 more more consenscutive points on one side of the average
3/23/20,7 more more consenscutive points on one side of the average
3/24/20,7 more more consenscutive points on one side of the average
3/25/20,7 more more consenscutive points on one side of the average
3/26/20,7 more more consenscutive points on one side of the average
3/27/20,7 more more consenscutive points on one side of the average
3/28/20,7 more more consenscutive points on one side of the average
3/29/20,7 more more consenscutive points on one side of the average